ID_Cliente;Churn;Genero;Idoso;Parceiro;Dependentes;Tempo_Contrato;Servico_Telefone;Linhas_Multiples;Servico_Internet;Seguranca_Online;Backup_Online;Protecao_Dispositivo;Suporte_Tecnico;Streaming_TV;Streaming_Filmes;Contrato;Fatura_Sem_Papel;Metodo_Pagamento;Faturamento_Mensal;Faturamento_Total;Faturamento_Diario;Servicos_Contratados
0002-Orfbo;0;Feminino;0;1;1;9;1;0,0;Dsl;0,0;1,0;0,0;1,0;1,0;0,0;One Year;1;Mailed Check;65,6;593,3;2,1866666666666665;5,0
0003-Mknfe;0;Masculino;0;0;0;9;1;1,0;Dsl;0,0;0,0;0,0;0,0;0,0;1,0;Month-To-Month;0;Mailed Check;59,9;542,4;1,9966666666666666;3,0
0004-Tlhlj;1;Masculino;0;0;0;4;1;0,0;Fiber Optic;0,0;0,0;1,0;0,0;0,0;0,0;Month-To-Month;1;Electronic Check;73,9;280,85;2,4633333333333334;3,0
0011-Igkff;1;Masculino;1;1;0;13;1;0,0;Fiber Optic;0,0;1,0;1,0;0,0;1,0;1,0;Month-To-Month;1;Electronic Check;98,0;1237,85;3,2666666666666666;6,0
0013-Exchz;1;Feminino;1;1;0;3;1;0,0;Fiber Optic;0,0;0,0;0,0;1,0;1,0;0,0;Month-To-Month;1;Mailed Check;83,9;267,4;2,796666666666667;4,0
0013-Mhzwf;0;Feminino;0;0;1;9;1;0,0;Dsl;0,0;0,0;0,0;1,0;1,0;1,0;Month-To-Month;1;Credit Card (Automatic);69,4;571,45;2,3133333333333335;5,0
0013-Smeoe;0;Feminino;1;1;0;71;1;0,0;Fiber Optic;1,0;1,0;1,0;1,0;1,0;1,0;Two Year;1;Bank Transfer (Automatic);109,7;7904,25;3,6566666666666667;8,0
0014-Bmaqu;0;Masculino;0;1;0;63;1;1,0;Fiber Optic;1,0;0,0;0,0;1,0;0,0;0,0;Two Year;1;Credit Card (Automatic);84,65;5377,8;2,8216666666666668;5,0
0015-Uocoj;0;Feminino;1;0;0;7;1;0,0;Dsl;1,0;0,0;0,0;0,0;0,0;0,0;Month-To-Month;1;Electronic Check;48,2;340,35;1,6066666666666667;3,0
0016-Qljis;0;Feminino;0;1;1;65;1;1,0;Dsl;1,0;1,0;1,0;1,0;1,0;1,0;Two Year;1;Mailed Check;90,45;5957,9;3,015;9,0
0017-Dinoc;0;Masculino;0;0;0;54;0;0,0;Dsl;1,0;0,0;0,0;1,0;1,0;0,0;Two Year;0;Credit Card (Automatic);45,2;2460,55;1,5066666666666668;3,0
0017-Iudmw;0;Feminino;0;1;1;72;1;1,0;Fiber Optic;1,0;1,0;1,0;1,0;1,0;1,0;Two Year;1;Credit Card (Automatic);116,8;8456,75;3,893333333333333;9,0
0018-Nyrou;0;Feminino;0;1;0;5;1;0,0;Fiber Optic;0,0;0,0;0,0;0,0;0,0;0,0;Month-To-Month;1;Electronic Check;68,95;351,5;2,2983333333333333;2,0
0019-Efaep;0;Feminino;0;0;0;72;1;1,0;Fiber Optic;1,0;1,0;1,0;0,0;1,0;0,0;Two Year;1;Bank Transfer (Automatic);101,3;7261,25;3,3766666666666665;7,0
0019-Gfntw;0;Feminino;0;0;0;56;0;0,0;Dsl;1,0;1,0;1,0;1,0;0,0;0,0;Two Year;0;Bank Transfer (Automatic);45,05;2560,1;1,5016666666666665;4,0
0020-Inwck;0;Feminino;0;1;1;71;1;1,0;Fiber Optic;0,0;1,0;1,0;0,0;0,0;1,0;Two Year;1;Credit Card (Automatic);95,75;6849,4;3,191666666666667;6,0
0020-Jdnxp;0;Feminino;0;1;1;34;0;0,0;Dsl;1,0;0,0;1,0;1,0;1,0;1,0;One Year;0;Mailed Check;61,25;1993,2;2,0416666666666665;5,0
0021-Ikxgc;0;Feminino;1;0;0;1;1;1,0;Fiber Optic;0,0;0,0;0,0;0,0;0,0;0,0;Month-To-Month;1;Electronic Check;72,1;72,1;2,4033333333333333;3,0
0022-Tcjci;1;Masculino;1;0;0;45;1;0,0;Dsl;1,0;0,0;1,0;0,0;0,0;1,0;One Year;0;Credit Card (Automatic);62,7;2791,5;2,0900000000000003;4,0
0023-Hghwl;1;Masculino;1;0;0;1;0;0,0;Dsl;0,0;0,0;0,0;0,0;0,0;0,0;Month-To-Month;1;Electronic Check;25,1;25,1;0,8366666666666667;1,0
0023-Uyupn;0;Feminino;1;1;0;50;1;1,0;No;0,0;0,0;0,0;0,0;0,0;0,0;One Year;0;Electronic Check;25,2;1306,3;0,84;2,0
0023-Xuopt;1;Feminino;0;1;0;13;1;1,0;Fiber Optic;0,0;1,0;1,0;0,0;1,0;0,0;Month-To-Month;0;Electronic Check;94,1;1215,6;3,1366666666666663;5,0
0027-Kwykw;0;Feminino;0;1;1;23;1;1,0;Fiber Optic;0,0;0,0;0,0;0,0;1,0;0,0;Month-To-Month;1;Electronic Check;83,75;1849,95;2,7916666666666665;4,0
0030-Fnxpp;0;Feminino;0;0;0;3;1;0,0;No;0,0;0,0;0,0;0,0;0,0;0,0;Month-To-Month;0;Mailed Check;19,85;57,2;0,6616666666666667;1,0
0031-Pvlzi;1;Feminino;0;1;1;4;1;0,0;No;0,0;0,0;0,0;0,0;0,0;0,0;Month-To-Month;0;Mailed Check;20,35;76,35;0,6783333333333333;1,0
0032-Pgels;1;Feminino;0;1;1;1;0;0,0;Dsl;1,0;0,0;0,0;0,0;0,0;0,0;Month-To-Month;0;Bank Transfer (Automatic);30,5;30,5;1,0166666666666666;1,0
0036-Ihmot;0;Feminino;0;1;1;55;1;0,0;Fiber Optic;0,0;1,0;1,0;1,0;1,0;1,0;One Year;1;Bank Transfer (Automatic);103,7;5656,75;3,4566666666666666;7,0
0040-Halcw;0;Masculino;0;1;1;54;1;0,0;No;0,0;0,0;0,0;0,0;0,0;0,0;Two Year;0;Credit Card (Automatic);20,4;1090,6;0,6799999999999999;1,0
0042-Jvwoj;0;Masculino;0;0;0;26;1;0,0;No;0,0;0,0;0,0;0,0;0,0;0,0;One Year;1;Bank Transfer (Automatic);19,6;471,85;0,6533333333333334;2,0
0042-Rlhyp;0;Feminino;0;1;1;69;1;0,0;No;0,0;0,0;0,0;0,0;0,0;0,0;Two Year;0;Bank Transfer (Automatic);19,7;1396,9;0,6566666666666666;1,0
0047-Zhdtw;0;Feminino;0;0;0;11;1;1,0;Fiber Optic;1,0;0,0;0,0;0,0;0,0;0,0;Month-To-Month;1;Bank Transfer (Automatic);79,0;929,3;2,6333333333333333;4,0
0048-Lumls;0;Masculino;0;1;1;37;1;0,0;Fiber Optic;0,0;0,0;0,0;0,0;1,0;1,0;One Year;0;Credit Card (Automatic);91,2;3247,55;3,04;3,0
0048-Pihnl;0;Feminino;0;1;0;49;1;0,0;No;0,0;0,0;0,0;0,0;0,0;0,0;One Year;0;Bank Transfer (Automatic);20,45;900,9;0,6816666666666666;1,0
0052-Dckon;0;Masculino;0;1;0;66;1;1,0;Fiber Optic;1,0;1,0;1,0;1,0;1,0;1,0;One Year;0;Bank Transfer (Automatic);115,8;7942,15;3,86;8,0
0052-Ynyot;0;Feminino;0;0;0;67;1;0,0;No;0,0;0,0;0,0;0,0;0,0;0,0;One Year;0;Electronic Check;20,55;1343,4;0,685;1,0
0056-Epfbg;0;Masculino;0;1;1;20;0;0,0;Dsl;1,0;0,0;1,0;1,0;0,0;0,0;Two Year;1;Credit Card (Automatic);39,4;825,4;1,3133333333333332;4,0
0057-Qbuqh;0;Feminino;0;0;1;43;1;1,0;No;0,0;0,0;0,0;0,0;0,0;0,0;Two Year;1;Electronic Check;25,1;1070,15;0,8366666666666667;3,0
0058-Evzwm;0;Feminino;0;1;0;55;1;1,0;Fiber Optic;1,0;0,0;0,0;0,0;1,0;0,0;Month-To-Month;1;Bank Transfer (Automatic);89,8;4959,6;2,993333333333333;5,0
0060-Fualy;0;Feminino;0;1;0;59;1;1,0;Fiber Optic;1,0;1,0;0,0;0,0;1,0;0,0;Month-To-Month;1;Electronic Check;94,75;5597,65;3,158333333333333;6,0
0064-Sudog;0;Feminino;0;1;1;12;1;0,0;No;0,0;0,0;0,0;0,0;0,0;0,0;Two Year;0;Bank Transfer (Automatic);20,3;224,5;0,6766666666666666;1,0
0064-Yijgf;0;Masculino;0;1;1;27;1;1,0;Fiber Optic;0,0;0,0;0,0;0,0;0,0;0,0;Month-To-Month;1;Bank Transfer (Automatic);75,75;1929,0;2,525;3,0
0067-Dkwbl;1;Masculino;1;0;0;2;1;0,0;Dsl;1,0;0,0;0,0;0,0;0,0;0,0;Month-To-Month;1;Electronic Check;49,25;91,1;1,6416666666666666;3,0
0068-Figtf;0;Feminino;0;0;0;27;1;0,0;Dsl;0,0;1,0;1,0;1,0;1,0;1,0;One Year;0;Mailed Check;78,2;2078,95;2,606666666666667;6,0
0071-Ndafp;0;Masculino;0;1;1;25;1;1,0;No;0,0;0,0;0,0;0,0;0,0;0,0;Two Year;0;Credit Card (Automatic);25,5;630,6;0,85;2,0
0074-Hdkdg;0;Masculino;0;1;1;25;1;0,0;Dsl;1,0;1,0;1,0;0,0;0,0;0,0;One Year;1;Bank Transfer (Automatic);61,6;1611,0;2,0533333333333332;5,0
0076-Lveps;0;Masculino;0;0;1;29;0;0,0;Dsl;1,0;1,0;1,0;1,0;0,0;0,0;Month-To-Month;1;Mailed Check;45,0;1242,45;1,5;5,0
0078-Xzmht;0;Masculino;0;1;0;72;1;1,0;Dsl;0,0;1,0;1,0;1,0;1,0;1,0;Two Year;1;Bank Transfer (Automatic);85,15;6316,2;2,8383333333333334;8,0
0080-Emyvy;0;Feminino;0;0;0;14;1;0,0;Dsl;0,0;1,0;0,0;0,0;0,0;0,0;One Year;0;Credit Card (Automatic);51,45;727,85;1,715;2,0
0080-Orozo;0;Feminino;0;0;0;35;1;0,0;Fiber Optic;0,0;0,0;1,0;1,0;1,0;1,0;One Year;1;Electronic Check;99,25;3532,0;3,308333333333333;6,0
0082-Ldzue;0;Masculino;0;0;0;1;1;0,0;Dsl;0,0;0,0;0,0;0,0;0,0;0,0;Month-To-Month;1;Mailed Check;44,3;44,3;1,4766666666666666;2,0
0082-Oqiqy;0;Masculino;0;0;0;29;1;0,0;Fiber Optic;0,0;0,0;0,0;1,0;1,0;1,0;Month-To-Month;1;Electronic Check;94,2;2607,6;3,14;5,0
0083-Pivik;0;Masculino;0;0;0;64;1;1,0;Dsl;1,0;1,0;1,0;1,0;1,0;0,0;One Year;0;Electronic Check;81,25;5567,55;2,7083333333333335;7,0
0089-Iiqko;0;Feminino;0;1;1;39;1;1,0;Fiber Optic;0,0;0,0;0,0;1,0;1,0;1,0;Month-To-Month;1;Credit Card (Automatic);99,95;3767,4;3,3316666666666666;6,0
0093-Exyql;0;Feminino;1;0;0;40;1;0,0;Fiber Optic;0,0;0,0;0,0;0,0;1,0;1,0;Month-To-Month;1;Electronic Check;91,55;3673,6;3,0516666666666667;4,0
0093-Xwzfy;1;Masculino;0;0;0;40;1;1,0;Fiber Optic;0,0;1,0;1,0;0,0;1,0;1,0;Month-To-Month;1;Credit Card (Automatic);104,5;4036,85;3,4833333333333334;7,0
0094-Oifmo;1;Feminino;1;0;0;11;1;0,0;Fiber Optic;0,0;1,0;0,0;0,0;1,0;1,0;Month-To-Month;1;Electronic Check;95,0;1120,3;3,1666666666666665;5,0
0096-Bxers;0;Feminino;0;1;0;6;1;1,0;Dsl;0,0;0,0;0,0;0,0;0,0;0,0;Month-To-Month;0;Electronic Check;50,35;314,55;1,6783333333333335;2,0
0096-Fcpuf;0;Masculino;0;0;0;30;1;1,0;Dsl;1,0;0,0;0,0;0,0;0,0;1,0;Month-To-Month;1;Mailed Check;64,5;1888,45;2,15;5,0
0098-Bowso;0;Masculino;0;0;0;27;1;0,0;No;0,0;0,0;0,0;0,0;0,0;0,0;Month-To-Month;1;Electronic Check;19,4;529,8;0,6466666666666666;2,0
0100-Duvfc;0;Masculino;1;1;0;70;1;1,0;Fiber Optic;0,0;1,0;1,0;0,0;1,0;1,0;One Year;1;Electronic Check;104,8;7308,95;3,493333333333333;7,0
0103-Csitq;0;Feminino;0;1;0;57;1;1,0;Fiber Optic;0,0;1,0;1,0;1,0;1,0;1,0;One Year;1;Bank Transfer (Automatic);109,4;6252,7;3,646666666666667;8,0
0104-Ppxdv;0;Masculino;0;1;0;58;1;0,0;Dsl;0,0;0,0;1,0;0,0;0,0;0,0;One Year;0;Credit Card (Automatic);50,3;2878,55;1,6766666666666665;2,0
0106-Ghrqr;0;Masculino;0;0;0;16;1;1,0;Dsl;0,0;1,0;1,0;0,0;0,0;1,0;Month-To-Month;1;Bank Transfer (Automatic);71,4;1212,1;2,3800000000000003;6,0
0106-Ugrdo;0;Feminino;0;1;0;69;1;1,0;Fiber Optic;1,0;1,0;1,0;1,0;1,0;1,0;Two Year;1;Electronic Check;116,0;8182,85;3,8666666666666667;9,0
0107-Weslm;1;Masculino;0;0;0;1;1;0,0;No;0,0;0,0;0,0;0,0;0,0;0,0;Month-To-Month;1;Electronic Check;19,85;19,85;0,6616666666666667;2,0
0107-Yhina;1;Masculino;0;0;1;1;1;1,0;Fiber Optic;0,0;0,0;1,0;0,0;1,0;1,0;Month-To-Month;1;Electronic Check;99,75;99,75;3,325;6,0
